,Load [kWh/h],PV output [kWh/h,Prices [NOK/kWh]
226,3.46,0.0,0.26
227,2.96,0.01,0.26
228,3.4,0.0,0.26
229,3.16,0.0,0.25
230,2.59,0.0,0.25
231,3.4,0.0,0.25
232,3.27,0.0,0.25
233,3.84,0.0,0.26
234,3.66,0.0,0.25
235,3.71,0.0,0.25
236,4.37,0.0,0.25
237,4.26,0.0,0.25
238,5.21,0.0,0.24
239,3.59,0.0,0.24
240,2.15,0.0,0.24
241,2.88,0.0,0.24
242,1.97,0.0,0.24
243,1.89,0.0,0.24
244,2.03,0.0,0.24
245,2.57,0.0,0.24
246,2.16,0.0,0.24
247,2.33,0.0,0.24
248,2.23,0.0,0.24
249,2.97,0.0,0.24
250,3.04,0.0,0.25
251,4.26,0.01,0.25
252,4.35,0.01,0.25
253,2.3,0.01,0.25
254,3.12,0.0,0.25
255,2.33,0.0,0.25
256,2.32,0.0,0.26
257,3.91,0.0,0.26
258,4.94,0.0,0.26
259,2.9,0.0,0.26
260,2.89,0.0,0.26
261,3.47,0.0,0.26
262,2.95,0.0,0.25
263,3.37,0.0,0.25
264,2.88,0.0,0.26
265,2.58,0.0,0.26
266,2.64,0.0,0.25
267,2.51,0.0,0.26
268,3.19,0.0,0.26
269,2.52,0.0,0.25
270,3.38,0.0,0.27
271,4.04,0.0,0.31
272,3.57,0.0,0.31
273,3.08,0.0,0.31
274,1.96,0.0,0.28
275,2.01,0.01,0.27
276,1.95,0.01,0.27
277,2.83,0.0,0.27
278,4.22,0.0,0.26
279,4.78,0.0,0.27
280,4.0,0.0,0.27
281,3.18,0.0,0.27
282,4.16,0.0,0.27
283,5.63,0.0,0.26
284,5.09,0.0,0.26
285,5.59,0.0,0.25
286,3.85,0.0,0.25
287,2.45,0.0,0.24
288,2.56,0.0,0.26
289,2.15,0.0,0.25
290,1.93,0.0,0.25
291,1.96,0.0,0.26
292,1.83,0.0,0.26
293,2.48,0.0,0.27
294,1.81,0.0,0.29
295,2.03,0.0,0.32
296,2.03,0.0,0.33
297,2.67,0.0,0.32
298,2.92,0.0,0.32
299,2.37,0.02,0.31
300,3.28,0.03,0.31
301,3.89,0.02,0.31
302,1.87,0.01,0.31
303,1.95,0.0,0.32
304,3.22,0.0,0.33
305,3.85,0.0,0.38
306,2.43,0.0,0.38
307,2.98,0.0,0.34
308,2.68,0.0,0.29
309,2.77,0.0,0.28
310,3.05,0.0,0.27
311,2.25,0.0,0.26
312,2.69,0.0,0.25
313,2.61,0.0,0.24
314,1.69,0.0,0.24
315,1.71,0.0,0.24
316,1.71,0.0,0.24
317,1.78,0.0,0.25
318,4.56,0.0,0.26
319,5.41,0.0,0.28
320,3.88,0.0,0.3
321,2.37,0.0,0.29
322,1.7,0.01,0.28
323,1.7,0.02,0.28
324,1.67,0.04,0.27
325,2.24,0.01,0.27
326,1.57,0.0,0.28
327,2.61,0.0,0.29
328,2.91,0.0,0.31
329,2.57,0.0,0.33
330,4.51,0.0,0.32
331,3.61,0.0,0.3
332,3.07,0.0,0.27
333,2.96,0.0,0.27
334,4.46,0.0,0.26
335,2.25,0.0,0.25
336,1.78,0.0,0.25
337,2.48,0.0,0.25
338,1.61,0.0,0.25
339,1.57,0.0,0.25
340,1.52,0.0,0.25
341,1.59,0.0,0.25
342,2.16,0.0,0.27
343,1.94,0.0,0.29
344,2.5,0.0,0.31
345,1.8,0.0,0.28
346,1.67,0.01,0.27
347,1.63,0.01,0.27
348,1.87,0.01,0.26
349,2.13,0.0,0.26
350,1.8,0.0,0.26
351,2.33,0.0,0.26
352,2.29,0.0,0.27
353,3.82,0.0,0.28
354,2.62,0.0,0.28
355,2.47,0.0,0.27
356,3.06,0.0,0.26
357,2.41,0.0,0.26
358,3.47,0.0,0.25
359,2.79,0.0,0.25
360,2.02,0.0,0.25
361,2.36,0.0,0.24
362,1.56,0.0,0.24
363,1.75,0.0,0.24
364,1.78,0.0,0.24
365,2.0,0.0,0.25
366,2.71,0.0,0.26
367,3.65,0.0,0.27
368,3.39,0.0,0.28
369,3.23,0.0,0.27
370,1.73,0.01,0.27
371,1.75,0.01,0.27
372,1.72,0.01,0.27
373,1.78,0.01,0.26
374,2.47,0.01,0.26
375,2.88,0.0,0.27
376,2.75,0.0,0.27
377,2.97,0.0,0.28
378,2.24,0.0,0.28
379,5.09,0.0,0.27
380,6.21,0.0,0.26
381,3.56,0.0,0.26
382,2.98,0.0,0.26
383,3.64,0.0,0.25
384,2.34,0.0,0.25
385,2.08,0.0,0.24
386,2.75,0.0,0.24
387,2.1,0.0,0.24
388,2.23,0.0,0.24
389,2.14,0.0,0.24
390,2.18,0.0,0.24
391,2.78,0.0,0.25
392,2.16,0.0,0.26
393,2.81,0.0,0.26
394,3.37,0.0,0.26
395,2.78,0.01,0.26
396,4.08,0.01,0.26
397,4.62,0.0,0.25
398,3.46,0.0,0.25
399,2.67,0.0,0.26
400,4.36,0.0,0.26
401,4.18,0.0,0.28
402,3.64,0.0,0.27
403,4.25,0.0,0.26
404,2.91,0.0,0.25
405,2.63,0.0,0.25
406,2.39,0.0,0.25
407,3.14,0.0,0.24
408,1.99,0.0,0.24
409,1.91,0.0,0.24
410,2.6,0.0,0.24
411,1.67,0.0,0.24
412,1.63,0.0,0.24
413,1.6,0.0,0.24
414,2.02,0.0,0.24
415,1.77,0.0,0.24
416,1.58,0.0,0.24
417,2.47,0.0,0.24
418,2.9,0.01,0.25
419,2.09,0.02,0.25
420,2.71,0.01,0.25
421,1.73,0.01,0.24
422,2.21,0.0,0.25
423,1.97,0.0,0.26
424,4.48,0.0,0.27
425,4.53,0.0,0.28
426,3.03,0.0,0.28
427,2.66,0.0,0.27
428,2.53,0.0,0.26
429,3.19,0.0,0.26
430,2.32,0.0,0.26
431,2.16,0.0,0.25
432,2.12,0.0,0.24
433,1.72,0.0,0.24
434,1.69,0.0,0.24
435,1.67,0.0,0.24
436,2.43,0.0,0.25
437,1.87,0.0,0.25
438,2.11,0.0,0.27
439,3.77,0.0,0.29
440,2.52,0.0,0.3
441,1.8,0.0,0.3
442,1.86,0.01,0.29
443,1.87,0.04,0.29
444,2.4,0.04,0.3
445,1.85,0.02,0.29
446,1.79,0.01,0.29
447,2.85,0.0,0.3
448,3.68,0.0,0.3
449,2.94,0.0,0.3
450,3.87,0.0,0.29
451,2.53,0.0,0.28
452,2.65,0.0,0.26
453,3.25,0.0,0.26
454,2.88,0.0,0.25
455,4.07,0.0,0.25
456,3.26,0.0,0.25
457,2.03,0.0,0.25
458,1.99,0.0,0.25
459,2.58,0.0,0.25
460,1.87,0.0,0.25
461,2.21,0.0,0.26
462,4.56,0.0,0.28
463,4.83,0.0,0.34
464,3.09,0.0,0.38
465,4.06,0.0,0.34
466,4.44,0.01,0.34
467,3.89,0.03,0.33
468,2.03,0.04,0.31
469,2.97,0.01,0.31
470,2.62,0.01,0.32
471,1.9,0.0,0.38
472,2.53,0.0,0.34
473,3.78,0.0,0.32
474,2.88,0.0,0.3
475,2.37,0.0,0.28
476,2.34,0.0,0.27
477,3.82,0.0,0.27
478,2.47,0.0,0.26
479,2.46,0.0,0.25
480,2.41,0.0,0.25
481,2.35,0.0,0.25
482,1.86,0.0,0.24
483,1.82,0.0,0.24
484,1.75,0.0,0.25
485,2.45,0.0,0.26
486,2.11,0.0,0.29
487,3.7,0.0,0.38
488,2.94,0.0,0.47
489,2.13,0.0,0.44
490,1.78,0.01,0.43
491,1.96,0.02,0.4
492,2.13,0.03,0.4
493,1.69,0.02,0.37
494,1.74,0.01,0.4
495,1.9,0.0,0.43
496,2.86,0.0,0.45
497,3.01,0.0,0.49
498,3.51,0.0,0.41
499,2.6,0.0,0.33
500,3.5,0.0,0.29
501,3.94,0.0,0.29
502,2.44,0.0,0.28
503,2.88,0.0,0.26
504,3.59,0.0,0.26
505,2.65,0.0,0.25
506,1.75,0.0,0.25
507,1.87,0.0,0.25
508,1.76,0.0,0.25
509,2.39,0.0,0.27
510,1.91,0.0,0.31
511,2.62,0.0,0.42
512,2.48,0.0,0.47
513,1.85,0.0,0.44
514,1.74,0.01,0.44
515,1.85,0.04,0.43
516,2.37,0.05,0.42
517,1.8,0.03,0.4
518,1.92,0.01,0.43
519,2.8,0.0,0.43
520,2.42,0.0,0.46
521,3.93,0.0,0.51
522,4.55,0.0,0.43
523,3.55,0.0,0.35
524,4.45,0.0,0.31
525,4.02,0.0,0.32
526,4.13,0.0,0.29
527,4.03,0.0,0.27
528,2.14,0.0,0.27
529,2.81,0.0,0.26
530,2.18,0.0,0.26
531,2.18,0.0,0.26
532,2.08,0.0,0.26
533,2.53,0.0,0.28
534,5.67,0.0,0.31
535,5.88,0.0,0.48
536,2.55,0.0,0.48
537,2.21,0.0,0.51
538,2.09,0.02,0.46
539,2.79,0.05,0.41
540,2.07,0.05,0.36
541,2.15,0.02,0.39
542,2.3,0.01,0.37
543,5.13,0.0,0.35
544,4.95,0.0,0.39
545,3.53,0.0,0.41
546,3.53,0.0,0.34
547,3.64,0.0,0.29
548,3.21,0.0,0.28
549,3.29,0.0,0.28
550,3.03,0.0,0.27
551,3.39,0.0,0.26
552,3.27,0.0,0.25
553,2.95,0.0,0.24
554,2.98,0.0,0.24
555,2.86,0.0,0.24
556,2.82,0.0,0.24
557,3.52,0.0,0.24
558,2.8,0.0,0.24
559,2.84,0.0,0.24
560,2.82,0.0,0.25
561,2.68,0.0,0.25
562,3.08,0.01,0.26
563,2.88,0.01,0.26
564,2.67,0.02,0.26
565,2.6,0.02,0.26
566,2.56,0.01,0.26
567,2.65,0.0,0.26
568,3.02,0.0,0.27
569,2.71,0.0,0.27
570,2.69,0.0,0.27
571,2.57,0.0,0.26
572,2.68,0.0,0.26
573,2.65,0.0,0.25
574,2.76,0.0,0.25
575,3.09,0.0,0.24
576,2.54,0.0,0.24
577,2.59,0.0,0.24
578,2.65,0.0,0.24
579,2.45,0.0,0.24
580,2.7,0.0,0.24
581,3.03,0.0,0.24
582,2.61,0.0,0.24
583,2.66,0.0,0.24
584,2.5,0.0,0.24
585,2.5,0.0,0.25
586,2.4,0.02,0.26
587,2.98,0.03,0.26
588,2.38,0.02,0.26
589,2.37,0.03,0.26
590,2.37,0.01,0.25
591,2.36,0.0,0.26
592,2.45,0.0,0.26
593,2.92,0.0,0.29
594,2.4,0.0,0.28
595,2.37,0.0,0.27
596,2.46,0.0,0.26
597,2.77,0.0,0.26
598,3.39,0.0,0.25
599,2.13,0.0,0.24
600,2.02,0.0,0.23
601,2.64,0.0,0.23
602,1.84,0.0,0.23
603,1.91,0.0,0.23
604,1.98,0.0,0.23
605,2.01,0.0,0.24
606,3.41,0.0,0.25
607,3.73,0.0,0.26
608,2.25,0.0,0.27
609,2.16,0.0,0.26
610,2.11,0.01,0.26
611,2.85,0.01,0.26
612,2.2,0.02,0.26
613,2.2,0.03,0.26
614,2.29,0.01,0.26
615,2.94,0.0,0.27
616,2.25,0.0,0.27
617,2.23,0.0,0.28
618,4.95,0.0,0.27
619,4.34,0.0,0.27
620,4.16,0.0,0.26
621,4.27,0.0,0.25
622,4.08,0.0,0.24
623,3.2,0.0,0.24
624,2.2,0.0,0.24
625,1.71,0.0,0.23
626,2.42,0.0,0.23
627,1.77,0.0,0.23
628,1.95,0.0,0.23
629,2.02,0.0,0.23
630,3.59,0.0,0.25
631,3.26,0.0,0.26
632,4.01,0.0,0.27
633,2.91,0.0,0.26
634,2.71,0.01,0.27
635,2.51,0.01,0.27
636,2.35,0.03,0.26
637,1.75,0.02,0.26
638,1.79,0.01,0.26
639,3.86,0.0,0.26
640,3.51,0.0,0.27
641,2.61,0.0,0.28
642,2.28,0.0,0.28
643,2.85,0.0,0.27
644,2.24,0.0,0.26
645,2.18,0.0,0.26
646,2.23,0.0,0.25
647,2.55,0.0,0.24
648,1.78,0.0,0.24
649,1.73,0.0,0.23
650,2.4,0.0,0.23
651,1.82,0.0,0.22
652,1.79,0.0,0.23
653,2.21,0.0,0.23
654,3.71,0.0,0.25
655,3.69,0.0,0.26
656,4.33,0.0,0.26
657,2.1,0.0,0.26
658,1.54,0.0,0.26
659,1.94,0.01,0.26
660,1.95,0.01,0.25
661,2.01,0.01,0.25
662,1.97,0.01,0.25
663,2.16,0.0,0.25
664,2.77,0.0,0.25
665,3.14,0.0,0.26
666,3.63,0.0,0.25
667,3.52,0.0,0.25
668,3.53,0.0,0.25
669,4.03,0.0,0.24
670,2.45,0.0,0.24
671,2.37,0.0,0.24
672,2.54,0.0,0.24
673,1.74,0.0,0.23
674,1.55,0.0,0.23
675,1.54,0.0,0.23
676,2.17,0.0,0.23
677,1.51,0.0,0.23
678,1.56,0.0,0.24
679,2.39,0.0,0.25
680,2.04,0.0,0.26
681,1.59,0.0,0.25
682,1.55,0.0,0.25
683,1.7,0.01,0.25
684,2.1,0.01,0.25
685,1.9,0.01,0.25
686,1.74,0.0,0.25
687,2.55,0.0,0.25
688,3.33,0.0,0.26
689,3.31,0.0,0.26
690,2.26,0.0,0.26
691,2.01,0.0,0.26
692,2.59,0.0,0.25
693,2.2,0.0,0.25
694,3.0,0.0,0.25
695,2.12,0.0,0.24
696,1.72,0.0,0.24
697,1.67,0.0,0.24
698,2.2,0.0,0.23
699,1.68,0.0,0.23
700,1.66,0.0,0.24
701,1.58,0.0,0.25
702,2.58,0.0,0.27
703,3.72,0.0,0.29
704,2.51,0.0,0.29
705,1.81,0.0,0.29
