,Load [kWh/h],PV output [kWh/h,Prices [NOK/kWh]
992,2.09,0.0,0.26
993,3.58,0.0,0.26
994,4.77,0.01,0.26
995,2.05,0.01,0.26
996,2.38,0.03,0.26
997,2.04,0.03,0.26
998,3.37,0.02,0.26
999,2.22,0.01,0.26
1000,1.82,0.0,0.26
1001,2.89,0.0,0.26
1002,2.0,0.0,0.26
1003,1.97,0.0,0.26
1004,2.1,0.0,0.25
1005,2.9,0.0,0.25
1006,1.93,0.0,0.24
1007,1.77,0.0,0.24
1008,2.17,0.0,0.23
1009,1.52,0.0,0.23
1010,1.53,0.0,0.23
1011,1.52,0.0,0.23
1012,1.56,0.0,0.23
1013,2.08,0.0,0.24
1014,1.67,0.0,0.24
1015,2.92,0.0,0.25
1016,3.01,0.0,0.25
1017,1.87,0.01,0.25
1018,1.62,0.02,0.25
1019,2.7,0.08,0.25
1020,2.41,0.06,0.25
1021,2.74,0.06,0.25
1022,1.87,0.04,0.25
1023,1.85,0.01,0.26
1024,1.93,0.0,0.26
1025,3.75,0.0,0.26
1026,2.35,0.0,0.26
1027,2.39,0.0,0.26
1028,2.89,0.0,0.26
1029,2.18,0.0,0.26
1030,2.09,0.0,0.25
1031,2.64,0.0,0.24
1032,1.93,0.0,0.24
1033,1.66,0.0,0.24
1034,2.37,0.0,0.24
1035,1.73,0.0,0.24
1036,1.81,0.0,0.24
1037,1.85,0.0,0.24
1038,1.93,0.0,0.25
1039,3.49,0.0,0.25
1040,1.83,0.0,0.26
1041,2.29,0.01,0.26
1042,3.91,0.02,0.26
1043,2.54,0.04,0.26
1044,2.61,0.05,0.26
1045,1.98,0.05,0.25
1046,3.08,0.03,0.25
1047,4.11,0.01,0.25
1048,2.51,0.0,0.25
1049,2.28,0.0,0.25
1050,2.97,0.0,0.25
1051,2.36,0.0,0.25
1052,2.19,0.0,0.25
1053,2.91,0.0,0.24
1054,2.36,0.0,0.24
1055,2.26,0.0,0.24
1056,2.22,0.0,0.24
1057,2.32,0.0,0.24
1058,1.67,0.0,0.23
1059,1.64,0.0,0.23
1060,1.77,0.0,0.23
1061,1.72,0.0,0.24
1062,2.31,0.0,0.24
1063,2.0,0.0,0.24
1064,1.83,0.0,0.24
1065,2.5,0.01,0.24
1066,2.64,0.12,0.24
1067,3.51,0.08,0.24
1068,1.71,0.2,0.24
1069,2.81,0.14,0.24
1070,3.77,0.05,0.24
1071,3.66,0.01,0.24
1072,4.26,0.0,0.24
1073,3.26,0.0,0.24
1074,4.48,0.0,0.25
1075,3.94,0.0,0.24
1076,3.02,0.0,0.24
1077,2.34,0.0,0.24
1078,2.32,0.0,0.23
1079,3.36,0.0,0.23
1080,2.07,0.0,0.23
1081,1.96,0.0,0.23
1082,2.63,0.0,0.23
1083,1.87,0.0,0.23
1084,1.92,0.0,0.23
1085,2.64,0.0,0.23
1086,2.09,0.0,0.23
1087,2.06,0.0,0.23
1088,2.22,0.0,0.23
1089,2.98,0.03,0.23
1090,2.24,0.07,0.23
1091,2.86,0.11,0.23
1092,1.89,0.13,0.23
1093,1.66,0.1,0.23
1094,1.61,0.04,0.23
1095,1.76,0.02,0.23
1096,2.27,0.0,0.23
1097,1.84,0.0,0.24
1098,2.75,0.0,0.24
1099,3.12,0.0,0.24
1100,3.57,0.0,0.23
1101,3.86,0.0,0.23
1102,4.19,0.0,0.23
1103,2.74,0.0,0.22
1104,1.84,0.0,0.23
1105,2.22,0.0,0.22
1106,1.61,0.0,0.22
1107,1.68,0.0,0.22
1108,1.77,0.0,0.23
1109,1.74,0.0,0.23
1110,2.44,0.0,0.24
1111,1.76,0.0,0.24
1112,1.75,0.0,0.24
1113,2.3,0.04,0.25
1114,1.7,0.1,0.25
1115,1.74,0.13,0.25
1116,1.68,0.15,0.24
1117,2.18,0.1,0.24
1118,1.8,0.04,0.24
1119,1.97,0.02,0.24
1120,3.27,0.0,0.25
1121,2.06,0.0,0.25
1122,3.56,0.0,0.25
1123,3.18,0.0,0.25
1124,3.44,0.0,0.24
1125,3.29,0.0,0.24
1126,4.02,0.0,0.24
1127,2.34,0.0,0.24
1128,2.51,0.0,0.23
1129,1.85,0.0,0.23
1130,1.86,0.0,0.22
1131,1.92,0.0,0.23
1132,2.53,0.0,0.23
1133,1.9,0.0,0.24
1134,2.04,0.0,0.24
1135,2.31,0.0,0.25
1136,2.54,0.0,0.25
1137,2.61,0.01,0.25
1138,3.84,0.02,0.25
1139,2.65,0.07,0.25
1140,3.57,0.15,0.25
1141,2.67,0.1,0.25
1142,2.36,0.05,0.25
1143,2.43,0.01,0.25
1144,2.87,0.0,0.24
1145,2.18,0.0,0.25
1146,3.1,0.0,0.25
1147,3.71,0.0,0.24
1148,1.96,0.0,0.24
1149,1.99,0.0,0.24
1150,2.17,0.0,0.23
1151,2.82,0.0,0.22
1152,2.0,0.0,0.22
1153,2.1,0.0,0.21
1154,2.13,0.0,0.21
1155,2.2,0.0,0.21
1156,2.4,0.0,0.22
1157,2.05,0.0,0.23
1158,2.12,0.0,0.24
1159,2.76,0.0,0.24
1160,2.3,0.0,0.25
1161,1.92,0.02,0.26
1162,1.74,0.04,0.26
1163,1.84,0.06,0.25
1164,2.41,0.02,0.24
1165,2.05,0.01,0.24
1166,2.61,0.01,0.24
1167,3.66,0.01,0.24
1168,2.59,0.0,0.24
1169,2.02,0.0,0.24
1170,2.03,0.0,0.24
1171,2.53,0.0,0.24
1172,2.2,0.0,0.23
1173,2.13,0.0,0.23
1174,2.05,0.0,0.22
1175,1.93,0.0,0.21
1176,2.43,0.0,0.21
1177,1.71,0.0,0.2
1178,1.75,0.0,0.2
1179,1.82,0.0,0.2
1180,1.7,0.0,0.21
1181,1.66,0.0,0.21
1182,2.18,0.0,0.23
1183,1.77,0.0,0.23
1184,2.3,0.0,0.23
1185,1.62,0.01,0.23
1186,1.55,0.03,0.23
1187,1.63,0.06,0.23
1188,2.76,0.08,0.23
1189,2.44,0.04,0.23
1190,3.26,0.02,0.23
1191,3.32,0.02,0.23
1192,3.08,0.01,0.23
1193,2.48,0.0,0.23
1194,1.84,0.0,0.23
1195,1.86,0.0,0.23
1196,2.35,0.0,0.23
1197,1.67,0.0,0.23
1198,1.66,0.0,0.22
1199,1.6,0.0,0.21
1200,1.57,0.0,0.2
1201,2.14,0.0,0.2
1202,1.58,0.0,0.2
1203,1.66,0.0,0.2
1204,1.63,0.0,0.2
1205,2.26,0.0,0.21
1206,1.52,0.0,0.22
1207,1.71,0.0,0.23
1208,2.23,0.01,0.23
1209,1.63,0.02,0.23
1210,1.64,0.07,0.23
1211,1.55,0.14,0.23
1212,2.21,0.18,0.23
1213,1.48,0.11,0.23
1214,1.4,0.02,0.23
1215,1.66,0.01,0.23
1216,1.47,0.01,0.23
1217,2.24,0.0,0.23
1218,1.79,0.0,0.23
1219,1.82,0.0,0.23
1220,1.75,0.0,0.23
1221,1.86,0.0,0.23
1222,2.41,0.0,0.22
1223,1.76,0.0,0.22
1224,1.74,0.0,0.22
1225,1.75,0.0,0.22
1226,1.73,0.0,0.22
1227,1.85,0.0,0.21
1228,2.4,0.0,0.22
1229,1.82,0.0,0.21
1230,1.9,0.0,0.22
1231,1.92,0.0,0.22
1232,2.04,0.01,0.22
1233,1.84,0.03,0.23
1234,2.6,0.06,0.23
1235,2.49,0.2,0.23
1236,1.92,0.18,0.23
1237,1.71,0.1,0.22
1238,1.7,0.07,0.22
1239,2.21,0.03,0.23
1240,2.14,0.01,0.23
1241,2.22,0.0,0.23
1242,1.88,0.0,0.23
1243,1.98,0.0,0.23
1244,1.97,0.0,0.23
1245,2.42,0.0,0.22
1246,1.85,0.0,0.22
1247,1.88,0.0,0.22
1248,1.73,0.0,0.22
1249,2.15,0.0,0.21
1250,2.14,0.0,0.21
1251,1.84,0.0,0.21
1252,1.92,0.0,0.21
1253,1.85,0.0,0.21
1254,2.26,0.0,0.22
1255,2.42,0.0,0.22
1256,2.19,0.01,0.22
1257,2.09,0.03,0.22
1258,2.4,0.08,0.23
1259,2.11,0.06,0.22
1260,3.49,0.06,0.22
1261,2.87,0.05,0.22
1262,2.0,0.07,0.22
1263,2.0,0.04,0.21
1264,2.03,0.01,0.22
1265,3.42,0.0,0.23
1266,3.99,0.0,0.23
1267,4.44,0.0,0.23
1268,4.47,0.0,0.22
1269,2.75,0.0,0.22
1270,3.12,0.0,0.22
1271,2.5,0.0,0.22
1272,1.84,0.0,0.22
1273,2.25,0.0,0.21
1274,1.92,0.0,0.21
1275,1.87,0.0,0.21
1276,1.82,0.0,0.21
1277,2.54,0.0,0.21
1278,3.11,0.0,0.22
1279,3.74,0.0,0.23
1280,2.21,0.01,0.23
1281,2.2,0.01,0.23
1282,2.23,0.03,0.23
1283,2.7,0.06,0.23
1284,2.0,0.04,0.23
1285,2.04,0.06,0.23
1286,2.17,0.03,0.23
1287,2.42,0.01,0.23
1288,4.07,0.01,0.23
1289,2.81,0.0,0.23
1290,4.63,0.0,0.23
1291,3.69,0.0,0.23
1292,2.8,0.0,0.23
1293,3.49,0.0,0.23
1294,2.12,0.0,0.22
1295,1.94,0.0,0.21
1296,2.36,0.0,0.22
1297,1.85,0.0,0.21
1298,1.57,0.0,0.21
1299,1.54,0.0,0.21
1300,1.95,0.0,0.21
1301,1.84,0.0,0.22
1302,1.7,0.0,0.23
1303,2.17,0.0,0.23
1304,2.41,0.01,0.23
1305,2.33,0.08,0.23
1306,2.46,0.14,0.23
1307,2.9,0.18,0.23
1308,3.08,0.19,0.23
1309,2.51,0.12,0.23
1310,2.89,0.06,0.23
1311,3.19,0.04,0.23
1312,4.59,0.02,0.23
1313,1.95,0.0,0.23
1314,2.59,0.0,0.23
1315,2.72,0.0,0.23
1316,3.97,0.0,0.23
1317,3.26,0.0,0.22
1318,3.85,0.0,0.22
1319,1.82,0.0,0.21
1320,1.61,0.0,0.21
1321,1.67,0.0,0.21
1322,2.09,0.0,0.2
1323,1.66,0.0,0.21
1324,1.66,0.0,0.21
1325,1.68,0.0,0.22
1326,2.57,0.0,0.23
1327,3.71,0.0,0.23
1328,2.29,0.02,0.24
1329,1.9,0.06,0.24
1330,2.48,0.12,0.24
1331,1.84,0.19,0.24
1332,1.74,0.15,0.23
1333,1.6,0.15,0.23
1334,1.7,0.07,0.23
1335,2.39,0.03,0.23
1336,2.04,0.01,0.23
1337,2.18,0.0,0.24
1338,2.47,0.0,0.25
1339,2.64,0.0,0.24
1340,1.97,0.0,0.23
1341,2.12,0.0,0.23
1342,3.13,0.0,0.23
1343,2.88,0.0,0.22
1344,2.46,0.0,0.22
1345,1.54,0.0,0.22
1346,1.55,0.0,0.22
1347,1.56,0.0,0.22
1348,2.27,0.0,0.22
1349,1.85,0.0,0.22
1350,1.76,0.0,0.23
1351,2.72,0.0,0.25
1352,1.94,0.0,0.25
1353,3.3,0.03,0.24
1354,2.88,0.03,0.24
1355,2.1,0.01,0.23
1356,2.05,0.01,0.23
1357,2.16,0.01,0.23
1358,2.42,0.0,0.23
1359,3.02,0.0,0.22
1360,2.21,0.0,0.22
1361,3.99,0.0,0.23
1362,4.46,0.0,0.23
1363,3.09,0.0,0.23
1364,4.43,0.0,0.22
1365,4.03,0.0,0.22
1366,2.58,0.0,0.22
1367,2.85,0.0,0.21
1368,2.06,0.0,0.2
1369,1.88,0.0,0.19
1370,1.89,0.0,0.19
1371,2.05,0.0,0.2
1372,2.19,0.0,0.21
1373,1.84,0.0,0.21
1374,2.53,0.0,0.22
1375,3.44,0.0,0.23
1376,1.58,0.01,0.23
1377,1.56,0.04,0.23
1378,1.73,0.13,0.23
1379,2.04,0.14,0.23
1380,1.54,0.21,0.23
1381,1.51,0.14,0.23
1382,1.56,0.07,0.23
1383,1.86,0.04,0.23
1384,4.17,0.02,0.23
1385,1.81,0.0,0.23
1386,2.06,0.0,0.23
1387,2.57,0.0,0.23
1388,2.07,0.0,0.22
1389,2.36,0.0,0.22
1390,2.5,0.0,0.22
1391,1.84,0.0,0.22
1392,1.76,0.0,0.22
1393,1.76,0.0,0.22
1394,2.29,0.0,0.22
1395,1.54,0.0,0.22
1396,1.58,0.0,0.22
1397,1.54,0.0,0.22
1398,1.54,0.0,0.22
1399,2.45,0.0,0.22
1400,1.59,0.02,0.23
1401,1.82,0.03,0.23
1402,4.24,0.06,0.23
1403,3.74,0.1,0.23
1404,2.92,0.08,0.22
1405,2.93,0.04,0.21
1406,2.71,0.03,0.21
1407,2.42,0.02,0.21
1408,3.32,0.01,0.22
1409,3.14,0.0,0.22
1410,3.46,0.0,0.22
1411,3.51,0.0,0.22
1412,4.27,0.0,0.21
1413,3.49,0.0,0.21
1414,2.17,0.0,0.2
1415,2.21,0.0,0.2
1416,2.26,0.0,0.2
1417,2.22,0.0,0.2
1418,1.54,0.0,0.2
1419,2.19,0.0,0.2
1420,1.58,0.0,0.2
1421,1.52,0.0,0.2
1422,1.53,0.0,0.19
1423,2.13,0.0,0.19
1424,1.6,0.0,0.2
1425,1.93,0.01,0.2
1426,2.22,0.04,0.2
1427,2.15,0.05,0.2
1428,2.76,0.04,0.2
1429,2.34,0.03,0.2
1430,2.43,0.03,0.2
1431,2.11,0.03,0.2
1432,3.1,0.02,0.21
1433,4.08,0.0,0.22
1434,3.82,0.0,0.22
1435,4.5,0.0,0.22
1436,4.27,0.0,0.21
1437,2.58,0.0,0.21
1438,2.07,0.0,0.21
1439,1.85,0.0,0.2
1440,2.45,0.0,0.19
1441,1.74,0.0,0.18
1442,1.68,0.0,0.18
1443,1.71,0.0,0.18
1444,2.2,0.0,0.19
1445,1.61,0.0,0.2
1446,2.2,0.0,0.23
1447,3.5,0.0,0.23
1448,3.25,0.01,0.23
1449,1.84,0.03,0.23
1450,1.54,0.06,0.23
1451,1.57,0.11,0.23
1452,1.76,0.11,0.23
1453,2.04,0.11,0.22
1454,1.93,0.07,0.22
1455,2.28,0.02,0.23
1456,3.26,0.0,0.23
1457,1.8,0.0,0.23
1458,2.51,0.0,0.23
1459,2.11,0.0,0.23
1460,2.46,0.0,0.23
1461,3.03,0.0,0.22
1462,2.2,0.0,0.21
1463,2.61,0.0,0.21
1464,1.71,0.0,0.2
1465,1.47,0.0,0.2
1466,1.52,0.0,0.19
1467,1.9,0.0,0.19
1468,2.03,0.0,0.2
1469,1.62,0.0,0.21
1470,1.73,0.0,0.22
1471,3.38,0.0,0.23
1472,4.08,0.04,0.23
1473,2.35,0.12,0.23
1474,3.76,0.17,0.23
1475,2.35,0.22,0.23
1476,3.11,0.19,0.22
1477,1.35,0.15,0.22
1478,2.69,0.09,0.22
1479,2.27,0.06,0.23
1480,4.16,0.02,0.23
1481,2.82,0.0,0.23
1482,5.29,0.0,0.24
1483,3.25,0.0,0.23
1484,3.15,0.0,0.23
1485,2.37,0.0,0.23
1486,2.75,0.0,0.22
1487,2.28,0.0,0.21
1488,1.8,0.0,0.21
1489,1.83,0.0,0.2
1490,2.41,0.0,0.2
1491,1.81,0.0,0.2
1492,1.82,0.0,0.21
1493,2.14,0.0,0.22
1494,3.57,0.0,0.23
1495,4.34,0.0,0.24
1496,3.86,0.03,0.25
1497,3.92,0.05,0.24
1498,2.17,0.1,0.23
1499,2.0,0.12,0.23
1500,2.11,0.16,0.23
1501,2.64,0.1,0.23
1502,2.86,0.05,0.23
1503,3.96,0.05,0.23
1504,3.37,0.01,0.23
1505,3.91,0.0,0.23
1506,4.05,0.0,0.24
1507,3.75,0.0,0.24
1508,2.34,0.0,0.23
1509,2.74,0.0,0.23
1510,2.89,0.0,0.23
1511,2.38,0.0,0.22
1512,1.96,0.0,0.22
1513,2.65,0.0,0.21
1514,1.94,0.0,0.21
1515,1.87,0.0,0.21
1516,1.88,0.0,0.22
1517,2.55,0.0,0.22
1518,2.12,0.0,0.23
1519,2.79,0.01,0.25
1520,2.75,0.05,0.26
1521,2.16,0.09,0.26
1522,2.23,0.07,0.26
1523,2.28,0.13,0.26
1524,2.58,0.16,0.25
1525,2.13,0.06,0.24
1526,2.45,0.04,0.25
1527,2.98,0.01,0.24
1528,5.97,0.0,0.24
1529,3.81,0.0,0.24
1530,3.94,0.0,0.24
1531,3.4,0.0,0.24
1532,2.82,0.0,0.23
1533,2.13,0.0,0.23
1534,2.57,0.0,0.23
1535,2.23,0.0,0.22
1536,1.62,0.0,0.21
1537,2.15,0.0,0.21
1538,1.5,0.0,0.21
1539,1.64,0.0,0.21
1540,1.6,0.0,0.21
1541,2.81,0.0,0.22
1542,3.41,0.0,0.23
1543,2.14,0.0,0.23
1544,2.97,0.03,0.23
1545,1.87,0.06,0.23
1546,1.88,0.09,0.23
1547,1.73,0.11,0.23
1548,2.26,0.19,0.23
1549,1.71,0.16,0.23
1550,2.0,0.16,0.23
1551,2.44,0.1,0.23
1552,2.79,0.05,0.23
1553,2.25,0.0,0.23
1554,2.78,0.0,0.24
1555,3.16,0.0,0.23
1556,2.37,0.0,0.22
1557,2.48,0.0,0.22
1558,2.71,0.0,0.22
1559,2.92,0.0,0.21
1560,1.95,0.0,0.2
1561,2.4,0.0,0.19
1562,1.68,0.0,0.19
1563,1.55,0.0,0.19
1564,2.15,0.0,0.18
1565,1.53,0.0,0.18
1566,1.51,0.0,0.19
1567,1.52,0.0,0.19
1568,1.65,0.01,0.19
1569,1.96,0.01,0.2
1570,2.89,0.01,0.2
1571,3.3,0.02,0.2
1572,2.88,0.02,0.19
1573,2.59,0.03,0.19
1574,3.2,0.09,0.19
1575,3.62,0.07,0.19
1576,3.08,0.02,0.19
1577,3.37,0.0,0.2
1578,2.49,0.0,0.21
1579,2.24,0.0,0.21
1580,3.03,0.0,0.2
1581,3.19,0.0,0.19
1582,3.04,0.0,0.19
1583,2.13,0.0,0.19
1584,2.1,0.0,0.17
1585,2.42,0.0,0.17
1586,1.59,0.0,0.17
1587,1.64,0.0,0.17
1588,1.7,0.0,0.17
1589,1.56,0.0,0.17
1590,2.35,0.0,0.17
1591,1.73,0.0,0.16
1592,1.7,0.01,0.17
1593,3.23,0.02,0.18
1594,2.44,0.05,0.18
1595,3.56,0.1,0.19
1596,4.37,0.06,0.18
1597,4.88,0.08,0.18
1598,4.27,0.11,0.18
1599,2.39,0.05,0.18
1600,3.25,0.04,0.19
1601,2.4,0.0,0.21
1602,2.05,0.0,0.22
1603,2.77,0.0,0.22
1604,2.19,0.0,0.21
1605,2.4,0.0,0.21
1606,2.55,0.0,0.2
1607,1.78,0.0,0.19
1608,1.76,0.0,0.19
1609,2.05,0.0,0.19
1610,1.61,0.0,0.19
1611,1.7,0.0,0.2
1612,1.83,0.0,0.2
1613,2.47,0.0,0.21
1614,2.32,0.0,0.22
1615,2.94,0.0,0.23
1616,2.01,0.04,0.23
1617,2.54,0.07,0.23
1618,1.78,0.2,0.22
1619,1.78,0.18,0.22
1620,1.67,0.16,0.22
1621,1.53,0.16,0.22
1622,2.08,0.09,0.22
1623,2.21,0.02,0.22
1624,3.51,0.02,0.22
1625,4.25,0.0,0.23
1626,2.48,0.0,0.23
1627,2.82,0.0,0.23
1628,3.74,0.0,0.22
1629,3.14,0.0,0.22
1630,3.83,0.0,0.21
1631,1.81,0.0,0.2
1632,1.54,0.0,0.2
1633,2.16,0.0,0.19
1634,1.61,0.0,0.19
1635,1.48,0.0,0.19
1636,1.6,0.0,0.19
1637,1.6,0.0,0.2
1638,3.32,0.0,0.21
1639,3.85,0.01,0.22
1640,1.7,0.02,0.22
1641,1.68,0.13,0.22
1642,2.22,0.09,0.22
1643,1.51,0.07,0.22
1644,1.59,0.08,0.22
1645,1.57,0.12,0.22
1646,1.55,0.09,0.22
1647,3.63,0.03,0.22
1648,1.8,0.02,0.21
1649,3.35,0.0,0.22
1650,2.74,0.0,0.22
1651,2.61,0.0,0.22
1652,3.43,0.0,0.22
1653,2.41,0.0,0.21
1654,2.18,0.0,0.21
1655,2.16,0.0,0.2
1656,2.2,0.0,0.19
1657,1.6,0.0,0.19
1658,1.65,0.0,0.19
1659,1.61,0.0,0.19
1660,2.14,0.0,0.2
1661,1.6,0.0,0.21
1662,1.66,0.0,0.22
1663,2.14,0.01,0.22
1664,4.16,0.09,0.23
1665,1.74,0.15,0.23
1666,1.62,0.22,0.23
1667,1.53,0.28,0.23
1668,2.09,0.3,0.22
1669,1.46,0.18,0.22
1670,1.63,0.23,0.22
1671,1.48,0.15,0.23
1672,2.33,0.07,0.23
1673,2.55,0.01,0.25
1674,2.34,0.0,0.25
1675,1.93,0.0,0.25
1676,2.52,0.0,0.25
1677,2.19,0.0,0.24
1678,2.16,0.0,0.23
1679,2.52,0.0,0.22
1680,1.75,0.0,0.22
1681,1.68,0.0,0.22
1682,1.66,0.0,0.21
1683,1.66,0.0,0.21
1684,2.26,0.0,0.22
1685,2.52,0.0,0.23
1686,3.26,0.0,0.24
1687,3.58,0.0,0.23
1688,2.23,0.03,0.24
1689,1.76,0.1,0.24
1690,1.72,0.16,0.24
1691,2.24,0.28,0.24
1692,1.6,0.29,0.24
1693,1.5,0.23,0.24
1694,1.88,0.2,0.24
1695,1.99,0.16,0.24
1696,3.34,0.06,0.24
1697,2.55,0.01,0.24
1698,4.07,0.0,0.24
1699,3.31,0.0,0.25
1700,3.39,0.0,0.24
1701,2.61,0.0,0.23
1702,2.21,0.0,0.22
1703,2.09,0.0,0.22
1704,2.49,0.0,0.21
1705,1.49,0.0,0.21
1706,1.5,0.0,0.21
1707,1.85,0.0,0.21
1708,1.72,0.0,0.21
1709,1.49,0.0,0.22
1710,1.48,0.0,0.23
1711,2.39,0.01,0.23
1712,1.59,0.1,0.23
1713,1.73,0.16,0.23
1714,1.55,0.23,0.23
1715,2.14,0.27,0.23
1716,1.43,0.31,0.22
1717,1.47,0.28,0.22
1718,1.54,0.23,0.22
1719,2.06,0.16,0.22
1720,2.99,0.08,0.22
1721,1.49,0.01,0.22
1722,1.3,0.0,0.22
1723,1.82,0.0,0.22
1724,3.03,0.0,0.22
1725,2.61,0.0,0.22
1726,2.19,0.0,0.22
1727,1.21,0.0,0.21
1728,1.12,0.0,0.21
1729,1.15,0.0,0.21
1730,1.81,0.0,0.2
1731,1.18,0.0,0.2
1732,1.19,0.0,0.21
1733,1.13,0.0,0.21
1734,1.21,0.0,0.21
1735,1.74,0.01,0.21
1736,1.22,0.09,0.22
1737,1.32,0.17,0.22
1738,1.55,0.24,0.22
1739,1.8,0.29,0.22
1740,2.96,0.31,0.22
1741,1.46,0.29,0.21
1742,1.09,0.23,0.21
1743,1.47,0.16,0.21
1744,1.25,0.08,0.22
1745,1.06,0.02,0.22
1746,1.29,0.0,0.22
1747,1.55,0.0,0.22
1748,2.23,0.0,0.22
1749,1.54,0.0,0.22
1750,1.56,0.0,0.21
1751,2.07,0.0,0.21
1752,1.16,0.0,0.21
1753,1.11,0.0,0.21
1754,1.33,0.0,0.2
1755,1.87,0.0,0.2
1756,1.36,0.0,0.21
1757,1.3,0.0,0.21
1758,1.36,0.0,0.22
1759,1.33,0.01,0.22
1760,1.98,0.14,0.22
1761,1.37,0.22,0.22
1762,1.77,0.28,0.22
1763,4.24,0.32,0.22
1764,2.89,0.34,0.22
1765,1.74,0.31,0.22
1766,1.43,0.26,0.22
1767,1.34,0.17,0.22
1768,1.08,0.09,0.21
1769,1.55,0.02,0.22
1770,1.91,0.0,0.22
1771,5.0,0.0,0.23
1772,3.74,0.0,0.23
1773,3.55,0.0,0.22
1774,3.07,0.0,0.22
1775,1.8,0.0,0.21
1776,2.47,0.0,0.2
1777,1.62,0.0,0.19
1778,1.69,0.0,0.19
1779,1.62,0.0,0.19
1780,2.14,0.0,0.2
1781,1.8,0.0,0.21
1782,2.6,0.0,0.22
1783,3.6,0.02,0.23
1784,2.73,0.11,0.23
1785,1.95,0.15,0.22
1786,1.92,0.16,0.22
1787,1.77,0.28,0.22
1788,2.24,0.32,0.21
1789,1.49,0.26,0.21
1790,1.73,0.23,0.21
1791,3.18,0.16,0.21
1792,2.68,0.09,0.21
1793,2.64,0.02,0.21
1794,3.84,0.0,0.22
1795,3.3,0.0,0.22
1796,3.55,0.0,0.22
1797,3.49,0.0,0.21
1798,2.38,0.0,0.21
1799,1.78,0.0,0.21
1800,2.23,0.0,0.2
1801,1.56,0.0,0.2
1802,1.6,0.0,0.19
1803,1.59,0.0,0.2
1804,2.21,0.0,0.2
1805,1.63,0.0,0.21
1806,1.66,0.0,0.22
1807,2.98,0.02,0.23
1808,2.32,0.04,0.24
1809,1.99,0.13,0.23
1810,2.21,0.2,0.23
1811,1.46,0.29,0.22
1812,1.44,0.25,0.22
1813,3.06,0.19,0.22
1814,2.41,0.15,0.22
1815,2.66,0.08,0.22
1816,3.36,0.06,0.22
1817,2.88,0.02,0.23
1818,5.25,0.0,0.24
1819,3.31,0.0,0.24
1820,3.1,0.0,0.23
1821,4.66,0.0,0.22
1822,2.45,0.0,0.22
1823,2.19,0.0,0.21
1824,2.46,0.0,0.21
1825,1.47,0.0,0.21
1826,1.61,0.0,0.21
1827,1.72,0.0,0.21
1828,2.31,0.0,0.22
1829,1.77,0.0,0.23
1830,3.13,0.0,0.25
1831,3.19,0.02,0.27
1832,2.77,0.1,0.35
1833,2.11,0.18,0.27
1834,2.2,0.25,0.26
1835,2.05,0.29,0.25
1836,1.64,0.31,0.24
1837,1.55,0.29,0.23
1838,1.68,0.24,0.23
1839,2.57,0.15,0.24
1840,1.76,0.05,0.23
1841,2.71,0.0,0.25
1842,3.71,0.0,0.26
1843,2.05,0.0,0.26
1844,3.26,0.0,0.24
1845,2.04,0.0,0.23
1846,2.86,0.0,0.23
1847,1.74,0.0,0.22
1848,1.81,0.0,0.22
1849,1.94,0.0,0.21
1850,1.49,0.0,0.21
1851,1.48,0.0,0.21
1852,1.59,0.0,0.22
1853,2.14,0.0,0.23
1854,1.54,0.0,0.23
1855,2.03,0.01,0.25
1856,2.83,0.02,0.25
1857,3.37,0.04,0.24
1858,2.8,0.07,0.23
1859,1.89,0.1,0.23
1860,2.19,0.2,0.23
1861,3.28,0.1,0.23
1862,2.14,0.1,0.23
1863,2.08,0.06,0.23
1864,2.47,0.06,0.23
1865,4.21,0.02,0.24
1866,3.75,0.0,0.25
1867,2.25,0.0,0.24
1868,2.25,0.0,0.24
1869,3.04,0.0,0.23
1870,2.13,0.0,0.23
1871,2.08,0.0,0.22
1872,1.9,0.0,0.21
1873,2.39,0.0,0.21
1874,1.81,0.0,0.21
1875,1.72,0.0,0.21
1876,1.81,0.0,0.22
1877,2.43,0.0,0.23
1878,1.85,0.0,0.23
1879,2.9,0.01,0.25
1880,2.44,0.06,0.25
1881,1.73,0.1,0.25
1882,1.7,0.06,0.25
1883,1.95,0.09,0.25
1884,2.32,0.2,0.23
1885,1.81,0.24,0.22
1886,3.62,0.17,0.22
1887,2.42,0.14,0.23
1888,3.26,0.08,0.24
1889,2.58,0.04,0.25
1890,2.33,0.0,0.24
1891,4.54,0.0,0.25
1892,4.09,0.0,0.23
1893,4.03,0.0,0.22
1894,2.15,0.0,0.22
1895,2.0,0.0,0.21
1896,2.14,0.0,0.21
1897,1.96,0.0,0.21
1898,1.8,0.0,0.21
1899,1.93,0.0,0.21
1900,2.2,0.0,0.21
1901,2.52,0.0,0.21
1902,2.15,0.0,0.21
1903,2.82,0.03,0.21
1904,4.37,0.09,0.21
1905,3.33,0.07,0.21
1906,2.12,0.32,0.21
1907,1.71,0.3,0.21
1908,2.51,0.18,0.21
1909,2.16,0.19,0.21
1910,2.76,0.09,0.21
1911,4.04,0.08,0.21
1912,3.65,0.07,0.21
1913,2.12,0.01,0.21
1914,2.4,0.0,0.23
1915,3.18,0.0,0.23
1916,2.72,0.0,0.22
1917,2.91,0.0,0.22
1918,3.52,0.0,0.22
1919,2.66,0.0,0.21
1920,3.25,0.0,0.21
1921,2.22,0.0,0.21
1922,2.06,0.0,0.21
